STATE,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,Deaths,Population,Homicide Rate Per 100k
Alabama,29.85074627,5.905970149,22.01492537,15.48955224,9.804477612,19.06119403,21.62238806,19.0119403,6.911940299,0.82238806,36.0238806,3.27761194,21.14179104,1.613432836,6.574626866,2.894029851,0.693923881,0.625413433,0.674607463,0.53141791,0.67158209,624,5074296,12.29727237
Alaska,20.59333333,7.893333333,17.40666667,8.78,15.68,14.45666667,23.64666667,14.08,6.016666667,1.97,54.52666667,5.036666667,5.25,10.75333333,21.55333333,9.89,0.4785,0.35812,0.832596667,0.805073333,0.60477,41,733583,5.589006288
Arizona,28.01333333,7.146666667,22.92666667,13.9,11.33333333,21.88,22.10666667,16.08666667,6.273333333,4.686666667,50.94,4.8,20.17333333,5.913333333,5.826666667,3.18,0.749766667,0.752953333,0.839606667,0.7877,0.829213333,490,7359197,6.658335142
Arkansas,31.02,5.973333333,22.01466667,13.812,8.330666667,19.936,22.144,20.97866667,6.78,1.081333333,26.83466667,3.037333333,16.17466667,2.529333333,6.849333333,3.348,0.673488,0.725617333,0.560130667,0.593488,0.690254667,290,3045637,9.521817603
California,21.48965517,6.765517241,28.11206897,14.09482759,6.887931034,18.60862069,21.79310345,13.67586207,5.603448276,6.181034483,48.43965517,9.3,7.115517241,5.760344828,5.698275862,3.327586207,0.631513793,0.551058621,0.802922414,0.709186207,0.690777586,1676,39029342,4.294205114
Colorado,20.68125,4.3734375,25.0140625,7.9765625,9.3734375,20.2859375,19.6625,13.184375,4.7234375,2.025,27.709375,7.953125,8.76875,2.234375,4.3203125,3.3375,0.468389063,0.389985938,0.602703125,0.428670313,0.436885938,304,5839926,5.205545413
Connecticut,15.57777778,5.955555556,27.62222222,8.344444444,4.966666667,17.97777778,20.12222222,11.95555556,6.1,3.466666667,31.26666667,10.91111111,0.877777778,1.633333333,7.677777778,2.933333333,0.402611111,0.394277778,0.672688889,0.539977778,0.472177778,114,3626205,3.14378255
Delaware,18.36666667,5.466666667,25.9,9.5,6.366666667,21,20.76666667,14.5,6.566666667,2.133333333,37.46666667,8.833333333,9.066666667,1.866666667,5.8,2.1,0.472166667,0.653266667,0.7494,0.613,0.615533333,48,1018396,4.713294239
District of Columbia,20.6,7.1,26.3,7.3,3.4,12.6,18.5,11,6.5,2.1,63.7,48.2,0.1,3.7,35.7,4.3,0.4394,0.1056,0.9386,0.9631,0.6262,141,671803,20.98829568
Florida,24.74776119,5.352238806,25.38358209,13.16268657,12.49104478,22.4880597,19.11343284,16.80447761,5.843283582,2.926865672,34.25671642,8.797014925,20.95074627,2.71641791,5.228358209,5.828358209,0.680376119,0.607129851,0.685873134,0.689564179,0.70830597,1170,22244823,5.259650751
Georgia,28.7572327,5.47672956,24.25597484,15.49433962,14.23018868,17.83333333,22.09496855,16.13899371,7.733333333,1.517610063,39.1672956,3.343396226,20.96792453,2.288679245,6.306289308,4.068553459,0.750673585,0.613316981,0.723522013,0.569072327,0.706447799,1033,10912876,9.465882321
Hawaii,17.5,4.16,23.26,7.48,4.88,20.66,17.02,13.96,3.78,2.62,73.76,15.08,0.44,6.82,6.54,7.06,0.26154,0.3719,0.96818,0.58186,0.45682,18,1440196,1.249829884
Idaho,23.09318182,3.818181818,23.325,11.175,11.85681818,19.32954545,23.95,15.77954545,4.293181818,2.693181818,19.72045455,3.527272727,11.72045455,3.513636364,3.409090909,2.459090909,0.516047727,0.526859091,0.473852273,0.386575,0.476120455,38,1939033,1.959739726
Illinois,21.00588235,5.020588235,19.80098039,9.37254902,5.62254902,19.91862745,21.35,15.89313725,5.6,0.826470588,14.39901961,4.624509804,7.476470588,1.378431373,6.237254902,3.640196078,0.327688235,0.434315686,0.323286275,0.420216667,0.349620588,1091,12582032,8.671095416
Indiana,20.37065217,4.165217391,19.86195652,10.69782609,7.95326087,18.12608696,22.65543478,15.38152174,5.481521739,0.743478261,11.14673913,4.513043478,7.62826087,1.769565217,5.593478261,2.583695652,0.353898913,0.406584783,0.260073913,0.396503261,0.334659783,468,6833037,6.849077504
Iowa,18.96565657,3.362626263,19.15656566,7.563636364,5.304040404,20.54040404,22.74848485,13.28585859,4.901010101,1.206060606,10.8020202,5.091919192,3.776767677,1.35959596,5.305050505,2.994949495,0.178484848,0.414172727,0.252677778,0.310812121,0.219651515,65,3200517,2.030921879
